Handle,Url,TwitterName,Type,Party,Website
AlternativeUnge,https://twitter.com/AlternativeUnge,Alternativets Unge,Ungdomsparti,Alternativet,https://alternativetsunge.dk/
alternativet_,https://twitter.com/alternativet_,Alternativet,Parti,Alternativet,https://alternativet.dk/
skaarup_peter,https://twitter.com/skaarup_peter,Peter Skaarup,MF,Danmarksdemokraterne,
AdsbolAdsbl,https://twitter.com/AdsbolAdsbl,Karina Adsbøl,MF,Danmarksdemokraterne,
LiseBech,https://twitter.com/LiseBech,Lise Bech,MF,Danmarksdemokraterne,
BentGsted,https://twitter.com/BentGsted,Bent Bøgsted,MF,Danmarksdemokraterne,
JThulesen,https://twitter.com/JThulesen,J H Thulesen Dahl,MF,Danmarksdemokraterne,
EspersenSoren,https://twitter.com/EspersenSoren,Søren Espersen,MF,Danmarksdemokraterne,
flydtkjaer,https://twitter.com/flydtkjaer,Dennis Flydtkjær,MF,Danmarksdemokraterne,
Hans_Kr_Skibby,https://twitter.com/Hans_Kr_Skibby,Hans Kristian Skibby,MF,Danmarksdemokraterne,
skaarup_peter,https://twitter.com/skaarup_peter,Peter Skaarup,MF,Danmarksdemokraterne,
DFUngdom,https://twitter.com/DFUngdom,Dansk Folkepartis Ungdom,Ungdomsparti,Dansk Folkeparti,
DanskDf1995,https://twitter.com/DanskDf1995,Dansk Folkeparti,Parti,Dansk Folkeparti,
ReneChr67108814,https://twitter.com/ReneChr67108814,Rene’ Christensen,MF,Dansk Folkeparti,
Eilersen_DF,https://twitter.com/Eilersen_DF,Susanne Eilersen,MF,Dansk Folkeparti,
Pia_Kjaersgaard,https://twitter.com/Pia_Kjaersgaard,Pia Kjærsgaard,MF,Dansk Folkeparti,
MrMesserschmidt,https://twitter.com/MrMesserschmidt,Morten Messerschmidt,MF,Dansk Folkeparti,
sufnet,https://twitter.com/sufnet,SUF - Socialistisk Ungdomsfront,Ungdomsparti,Enhedslisten,
Enhedslisten,https://twitter.com/Enhedslisten,Enhedslisten,Parti,Enhedslisten,
EvaFlyvholm,https://twitter.com/EvaFlyvholm,Eva Flyvholm,MF,Enhedslisten,
pederhvelplund,https://twitter.com/pederhvelplund,Peder Hvelplund,MF,Enhedslisten,
hyllefar,https://twitter.com/hyllefar,Henning Hyllested,MF,Enhedslisten,
ChristianJuhl2,https://twitter.com/ChristianJuhl2,Christian Juhl,MF,Enhedslisten,
RosaLundEl,https://twitter.com/RosaLundEl,Rosa Lund,MF,Enhedslisten,
SorenEggeRasmus,https://twitter.com/SorenEggeRasmus,Søren Egge Rasmussen,MF,Enhedslisten,
JonathanSimmel,https://twitter.com/JonathanSimmel,Jonathan Simmel,MF,Enhedslisten,
PSkipperEL,https://twitter.com/PSkipperEL,Pernille Skipper,MF,Enhedslisten,
JakobSoelvhoej,https://twitter.com/JakobSoelvhoej,Jakob Sølvhøj,MF,Enhedslisten,
SrenSndergaard3,https://twitter.com/SrenSndergaard3,Søren Søndergaard,MF,Enhedslisten,
VictoriaV_EL,https://twitter.com/VictoriaV_EL,Victoria Velásquez,MF,Enhedslisten,
MaiVilladsen,https://twitter.com/MaiVilladsen,Mai Villadsen,MF,Enhedslisten,
friegronne,https://twitter.com/friegronne,"Frie Grønne, Danmarks Nye Venstrefløjsparti",Parti,Frie Grønne,
SikandaSIDDIQUE,https://twitter.com/SikandaSIDDIQUE,Sikandar Siddique,MF,Frie Grønne,
Susanne_Zimmer_,https://twitter.com/Susanne_Zimmer_,Susanne Zimmer,MF,Frie Grønne,
AajaCL,https://twitter.com/AajaCL,Aaja Chemnitz Larsen,MF,Inuit Ataqatigiit,
InuitAtaqatigi1,https://twitter.com/InuitAtaqatigi1,Inuit Ataqatigiit,Parti,Inuit Ataqatigiit,
KU_DK,https://twitter.com/KU_DK,Konservativ Ungdom,Ungdomsparti,Konservative,
KonservativeDK,https://twitter.com/KonservativeDK,Det Konservative Folkeparti,Parti,Konservative,https://konservative.dk/
SorenPape,https://twitter.com/SorenPape,Søren Pape Poulsen,MF,Konservative,
_MaiMercado,https://twitter.com/_MaiMercado,Mai Mercado,MF,Konservative,
RasmusJarlov,https://twitter.com/RasmusJarlov,Rasmus Jarlov,MF,Konservative,
metteabildgaard,https://twitter.com/metteabildgaard,Mette Abildgaard,MF,Konservative,
BirgitteBergman,https://twitter.com/BirgitteBergman,Birgitte Bergman,MF,Konservative,
JerkelK,https://twitter.com/JerkelK,Brigitte K. Jerkel,MF,Konservative,
brittbager,https://twitter.com/brittbager,Britt Bager,MF,Konservative,
Ammitzboell_K,https://twitter.com/Ammitzboell_K,KatarinaAmmitzboell,MF,Konservative,
MarcusKnuth1,https://twitter.com/MarcusKnuth1,Marcus Knuth,MF,Konservative,
GitteWillumsen1,https://twitter.com/GitteWillumsen1,Gitte Willumsen,MF,Konservative,
JuulMona,https://twitter.com/JuulMona,Mona Juul,MF,Konservative,
PerLarsenC,https://twitter.com/PerLarsenC,Per Larsen,MF,Konservative,
NielsFlemming01,https://twitter.com/NielsFlemming01,Niels Flemming Hansen,MF,Konservative,
KDpolitik,https://twitter.com/KDpolitik,Kristendemokraterne,Parti,Kristendemokraterne,https://kd.dk/
LiberalUngdomDK,https://twitter.com/LiberalUngdomDK,Liberal Alliances Ungdom,Ungdomsparti,Liberal Alliance,
LiberalAlliance,https://twitter.com/LiberalAlliance,Liberal Alliance,Parti,Liberal Alliance,https://www.liberalalliance.dk/
SociologenHD,https://twitter.com/SociologenHD,Henrik Dahl,MF,Liberal Alliance,
olebirkolesen,https://twitter.com/olebirkolesen,Ole Birk Olesen,MF,Liberal Alliance,
AlexVanopslagh,https://twitter.com/AlexVanopslagh,Alex Vanopslagh,MF,Liberal Alliance,
ammitzbollbille,https://twitter.com/ammitzbollbille,Simon Emil Ammitzbøll-Bille,MF,Løsgænger,
Blixt22,https://twitter.com/Blixt22,Liselott Blixt,MF,Løsgænger,
MarieKrarup,https://twitter.com/MarieKrarup,Marie Krarup,MF,Løsgænger,
rohde_jens,https://twitter.com/rohde_jens,Jens Rohde,MF,Løsgænger,
orlaosterby,https://twitter.com/orlaosterby,Orla Østerby,MF,Løsgænger,
moderaterne_dk,https://twitter.com/moderaterne_dk,Moderaterne,Parti,Moderaterne,https://moderaterne.dk/
larsloekke,https://twitter.com/larsloekke,Lars Løkke Rasmussen,MF,Moderaterne,
NyeBorgerlige,https://twitter.com/NyeBorgerlige,Nye Borgerlige,Parti,Nye Borgerlige,
LBMathiesen,https://twitter.com/LBMathiesen,Lars Boje Mathiesen,MF,Nye Borgerlige,
peter_seier,https://twitter.com/peter_seier,Peter Seier Christensen,MF,Nye Borgerlige,
ThiesenMette,https://twitter.com/ThiesenMette,Mette Thiesen,MF,Nye Borgerlige,
PernilleVermund,https://twitter.com/PernilleVermund,Pernille Vermund,MF,Nye Borgerlige,
radikalungdom,https://twitter.com/radikalungdom,Radikal Ungdom,Ungdomsparti,Radikale Venstre,https://www.radikalungdom.dk/
radikale,https://twitter.com/radikale,Radikale Venstre,Parti,Radikale Venstre,https://www.radikale.dk/
FrkCallesen,https://twitter.com/FrkCallesen,Anne Sophie Callesen,MF,Radikale Venstre,
mariannejelved,https://twitter.com/mariannejelved,Marianne Jelved,MF,Radikale Venstre,
kronborgsusan,https://twitter.com/kronborgsusan,Susan Kronborg,MF,Radikale Venstre,
martinlidegaard,https://twitter.com/martinlidegaard,Martin Lidegaard,MF,Radikale Venstre,
stinuslindgreen,https://twitter.com/stinuslindgreen,Stinus Lindgreen,MF,Radikale Venstre,
SamiraNawa,https://twitter.com/SamiraNawa,Samira Nawa,MF,Radikale Venstre,
sofiecn,https://twitter.com/sofiecn,Sofie Carsten Nielsen,MF,Radikale Venstre,
KathrineOlldag,https://twitter.com/KathrineOlldag,Kathrine Olldag,MF,Radikale Venstre,
rasmushelveg,https://twitter.com/rasmushelveg,Rasmus Helveg,MF,Radikale Venstre,
KatrineRobsoe,https://twitter.com/KatrineRobsoe,Katrine Robsøe,MF,Radikale Venstre,
LotteRod,https://twitter.com/LotteRod,Lotte Rod,MF,Radikale Venstre,
zeniastampe,https://twitter.com/zeniastampe,Zenia Stampe,MF,Radikale Venstre,
a_steenberg,https://twitter.com/a_steenberg,Andreas Steenberg,MF,Radikale Venstre,
rvthorholm,https://twitter.com/rvthorholm,Christina Thorholm,MF,Radikale Venstre,
AkiMati_Siumut,https://twitter.com/AkiMati_Siumut,Aki-Matilda Høegh-Dam,MF,Siumut,
DSU_1920,https://twitter.com/DSU_1920,DSU,Ungdomsparti,Socialdemokratiet,
Spolitik,https://twitter.com/Spolitik,Socialdemokratiet,Parti,Socialdemokratiet,
